Ordering 1:  8A-2B-7C   (this block order repeated for all 6 floors),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Seq #,Floor,Type,p_Framing,p_MEP,p_Finish,p_Insp,C_Framing,C_MEP,C_Finish,C_Insp,,,,
1,1,Type A,67,178,155,44,67,245,400,444,,RESULTS (minutes),,
2,1,Type A,67,178,155,44,134,423,578,622,,Makespan (days),117.46,
3,1,Type A,67,178,155,44,201,601,756,800,,,,
4,1,Type A,67,178,155,44,268,779,934,978,,Floor completion (min),,
5,1,Type A,67,178,155,44,335,957,"1,112","1,156",,Floor,Minutes,Days
6,1,Type A,67,178,155,44,402,"1,135","1,290","1,334",,Floor 1,"10,334",21.53
7,1,Type A,67,178,155,44,469,"1,313","1,468","1,512",,Floor 2,"19,543",40.71
8,1,Type A,67,178,155,44,536,"1,491","1,646","1,690",,Floor 3,"28,752",59.90
9,1,Type B,225,599,524,150,761,"2,090","2,614","2,764",,Floor 4,"37,961",79.09
10,1,Type B,225,599,524,150,986,"2,689","3,213","3,363",,Floor 5,"47,170",98.27
11,1,Type C,353,941,823,235,"1,339","3,630","4,453","4,688",,Floor 6,"56,379",117.46
12,1,Type C,353,941,823,235,"1,692","4,571","5,394","5,629",,,,
13,1,Type C,353,941,823,235,"2,045","5,512","6,335","6,570",,,,
14,1,Type C,353,941,823,235,"2,398","6,453","7,276","7,511",,,,
15,1,Type C,353,941,823,235,"2,751","7,394","8,217","8,452",,,,
16,1,Type C,353,941,823,235,"3,104","8,335","9,158","9,393",,,,
17,1,Type C,353,941,823,235,"3,457","9,276","10,099","10,334",,,,
18,2,Type A,67,178,155,44,"3,524","9,454","10,254","10,378",,,,
19,2,Type A,67,178,155,44,"3,591","9,632","10,409","10,453",,,,
20,2,Type A,67,178,155,44,"3,658","9,810","10,564","10,608",,,,
21,2,Type A,67,178,155,44,"3,725","9,988","10,719","10,763",,,,
22,2,Type A,67,178,155,44,"3,792","10,166","10,874","10,918",,,,
23,2,Type A,67,178,155,44,"3,859","10,344","11,029","11,073",,,,
24,2,Type A,67,178,155,44,"3,926","10,522","11,184","11,228",,,,
25,2,Type A,67,178,155,44,"3,993","10,700","11,339","11,383",,,,
26,2,Type B,225,599,524,150,"4,218","11,299","11,863","12,013",,,,
27,2,Type B,225,599,524,150,"4,443","11,898","12,422","12,572",,,,
28,2,Type C,353,941,823,235,"4,796","12,839","13,662","13,897",,,,
29,2,Type C,353,941,823,235,"5,149","13,780","14,603","14,838",,,,
30,2,Type C,353,941,823,235,"5,502","14,721","15,544","15,779",,,,
31,2,Type C,353,941,823,235,"5,855","15,662","16,485","16,720",,,,
32,2,Type C,353,941,823,235,"6,208","16,603","17,426","17,661",,,,
33,2,Type C,353,941,823,235,"6,561","17,544","18,367","18,602",,,,
34,2,Type C,353,941,823,235,"6,914","18,485","19,308","19,543",,,,
