generation,seed_1,seed_2,seed_3,seed_4,seed_5
1,57.2017,57.2017,57.2017,57.2017,57.2017
2,57.2017,57.2017,57.2017,57.2017,57.2017
3,57.2017,57.2017,57.2017,57.2017,57.2017
4,57.2017,57.2017,57.2017,57.2017,57.2017
5,55.7183,57.2017,57.2017,56.0892,57.2017
6,55.7183,49.0177,56.7725,55.0886,51.0657
7,55.3475,49.0177,52.9517,55.0886,51.0657
8,55.3475,49.0177,52.21,53.8642,51.0657
9,52.5927,48.7386,52.21,53.8642,49.8177
10,49.3886,48.7386,52.21,53.3344,49.8177
11,49.0177,48.7386,50.549,53.3344,49.6948
12,49.0177,48.4594,50.549,52.5927,49.6948
13,49.0177,48.4594,48.5886,52.5927,49.5386
14,49.0177,48.4594,48.5886,52.5927,49.5386
15,49.0177,48.4594,48.5886,51.9469,49.2594
16,48.7386,48.4594,48.5886,51.2052,49.2594
17,48.7386,48.4594,48.4657,51.2052,49.2594
18,48.7386,48.4594,48.3094,51.2052,49.0282
19,48.7386,48.4594,48.3094,51.2052,48.9594
20,48.4594,48.2448,48.1865,50.9261,48.8573
21,48.1802,48.2448,48.1865,50.9261,48.8573
22,48.1802,48.1802,48.1865,50.6469,48.8136
23,48.1802,47.9657,47.9761,50.6469,48.4282
24,48.1802,47.9657,47.7073,50.6469,48.4282
25,48.1802,47.9657,47.7073,50.3677,48.324
26,48.1802,47.7511,47.6969,50.3677,47.6698
27,48.1802,47.7511,47.4282,50.3677,47.6698
28,48.1802,47.6865,47.4282,50.0344,47.5344
29,48.1802,47.6865,47.3802,49.9115,47.2927
30,48.1802,47.4177,47.3802,49.9115,47.2448
31,48.1802,47.4177,47.3802,49.8198,47.2448
32,48.1802,47.4177,47.149,49.8198,47.0302
33,47.9011,47.4177,47.0532,49.6052,47.0302
34,47.9011,47.4177,47.0532,49.5407,47.0302
35,47.6865,47.149,47.0532,49.3261,47.0302
36,47.6865,47.1386,47.0532,49.3261,46.8261
37,47.6865,47.1386,46.8865,49.3261,46.8261
38,47.6865,47.1386,46.8865,49.3261,46.8261
39,47.6865,47.1386,46.8386,49.2302,46.8261
40,47.4719,46.8698,46.7907,49.2302,46.5032
41,47.4073,46.8698,46.7907,49.1865,46.5032
42,47.4073,46.8698,46.624,47.9386,46.5032
43,47.1927,46.8698,46.624,47.9386,46.5032
44,46.9302,46.8219,46.5761,47.8907,46.3469
45,46.9302,46.8219,46.5282,47.8427,46.3469
46,46.9302,46.8219,46.5282,47.8427,46.3469
47,46.9302,46.5469,46.5282,47.8427,46.3469
48,46.9302,46.5469,46.5282,47.6865,46.3469
49,46.9302,46.5469,46.5282,47.6865,46.3469
50,46.9302,46.5469,46.4802,47.6865,46.299
51,46.8823,46.3907,46.4802,47.6865,46.299
52,46.8823,46.3907,46.4802,47.4136,46.2719
53,46.8823,46.3907,46.4802,47.4136,46.2719
54,46.7157,46.3427,46.4802,47.4136,46.224
55,46.6677,46.3427,46.4802,47.2573,46.224
56,46.5594,46.3427,46.4802,47.2573,46.224
57,46.5011,46.3427,46.324,47.2573,46.1761
58,46.4532,46.2344,46.324,47.2573,46.1761
59,46.3448,46.2344,46.2657,47.2094,46.1761
60,46.3448,46.1865,46.2657,47.2094,46.1282
61,46.3448,46.1386,46.1094,47.0427,46.1282
62,46.3448,45.9115,45.9532,46.9948,46.1282
63,46.1886,45.8636,45.9532,46.9302,46.0802
64,46.1886,45.8157,45.9532,46.8865,46.0802
65,46.1886,45.8157,45.9532,46.8865,46.074
66,46.0802,45.7677,45.7969,46.8865,46.0261
67,46.0802,45.7677,45.7969,46.8865,46.0261
68,46.0802,45.7677,45.749,46.774,46.0261
69,45.9719,45.7198,45.749,46.774,45.9782
70,45.9719,45.7198,45.7219,46.774,45.9782
71,45.9719,45.7198,45.7219,46.774,45.9782
72,45.924,45.7198,45.674,46.774,45.9782
73,45.8636,45.7198,45.674,46.774,45.9302
74,45.8636,45.7198,45.674,46.7261,45.9302
75,45.7552,45.7198,45.674,46.7261,45.9302
76,45.7073,45.6719,45.6261,46.7261,45.8823
77,45.7073,45.6719,45.6261,46.4511,45.8823
78,45.7073,45.6719,45.6094,46.4511,45.8823
79,45.7073,45.6719,45.6094,46.4511,45.8344
80,45.7073,45.5157,45.5615,46.3552,45.8344
81,45.6594,45.4677,45.4052,46.2948,45.8344
82,45.6594,45.4677,45.4052,46.2469,45.8344
83,45.6594,45.4677,45.4052,46.2469,45.7865
84,45.5511,45.4677,45.4052,46.199,45.7865
85,45.5511,45.4677,45.4052,46.199,45.7865
86,45.5511,45.4677,45.4052,46.1386,45.7386
87,45.4552,45.4198,45.3573,46.1386,45.7386
88,45.4552,45.3115,45.3573,46.0907,45.7386
89,45.4552,45.3115,45.3573,46.0907,45.6907
90,45.4073,45.2636,45.3573,46.0907,45.6907
91,45.4073,45.2636,45.3573,46.0907,45.6261
92,45.3469,45.2636,45.2011,46.0907,45.6261
93,45.3469,45.2636,45.2011,46.0907,45.5782
94,45.2032,45.1552,45.2011,46.0427,45.4698
95,45.2032,45.1552,45.2011,46.0427,45.4698
96,45.2032,45.1552,45.1532,45.9948,45.4219
97,45.2032,45.1552,45.0448,45.9948,45.4052
98,45.2032,45.1073,45.0448,45.8865,45.3094
99,45.2032,45.1073,45.0448,45.8386,45.3094
100,45.2032,44.999,44.9969,45.8386,45.3094
101,45.2032,44.999,44.9969,45.6823,45.3094
102,45.1073,44.9511,44.949,45.6823,45.2615
103,45.1073,44.9511,44.949,45.6823,45.2615
104,45.1073,44.9511,44.949,45.6823,45.1052
105,45.0594,44.8552,44.949,45.6344,45.1052
106,45.0115,44.8552,44.9011,45.6344,45.1052
107,45.0115,44.8552,44.7448,45.6344,45.0573
108,45.0115,44.8552,44.6969,45.6344,44.949
109,45.0115,44.8073,44.6969,45.6344,44.949
110,44.9636,44.8073,44.6969,45.5865,44.949
111,44.9636,44.8073,44.6969,45.5386,44.9011
112,44.9157,44.7594,44.6969,45.5386,44.9011
113,44.9157,44.7594,44.649,45.5386,44.8532
114,44.9157,44.6511,44.649,45.5386,44.8532
115,44.9157,44.6511,44.649,45.5386,44.7927
116,44.8677,44.5552,44.5532,45.4907,44.7448
117,44.8677,44.5552,44.5532,45.4907,44.649
118,44.8677,44.5552,44.5532,45.4427,44.649
119,44.8677,44.5552,44.5052,45.4427,44.649
120,44.8198,44.5552,44.5052,45.3948,44.6011
121,44.8198,44.5552,44.5052,45.3948,44.6011
122,44.7115,44.5552,44.5052,45.3469,44.6011
123,44.7115,44.5552,44.4573,45.2386,44.4927
124,44.7115,44.5552,44.4573,45.2386,44.4927
125,44.6636,44.5073,44.4573,45.1907,44.4448
126,44.6636,44.5073,44.4094,45.1907,44.3365
127,44.6636,44.5073,44.4094,45.1907,44.2886
128,44.6636,44.5073,44.4094,45.1427,44.2886
129,44.6636,44.5073,44.4094,45.1427,44.2886
130,44.6157,44.5073,44.4094,45.1157,44.2407
131,44.6157,44.5073,44.4094,45.0677,44.2407
132,44.6157,44.4594,44.4094,45.0677,44.2407
133,44.6157,44.4594,44.4094,45.0198,44.2407
134,44.5677,44.4115,44.4094,45.0198,44.1927
135,44.5677,44.4115,44.3615,44.9594,44.1927
136,44.5198,44.4115,44.3615,44.924,44.1927
137,44.5198,44.3157,44.3615,44.9115,44.1927
138,44.5198,44.3157,44.3615,44.9115,44.1448
139,44.5198,44.3157,44.3136,44.8636,44.1448
140,44.4719,44.3157,44.3136,44.8636,44.1448
141,44.4719,44.2677,44.3136,44.8636,44.1448
142,44.4719,44.2407,44.3136,44.8636,44.0969
143,44.4719,44.1927,44.3136,44.8157,44.0969
144,44.424,44.1927,44.3136,44.8157,44.0969
145,44.424,44.1927,44.3136,44.8157,44.0969
146,44.424,44.1927,44.3136,44.7677,44.0969
147,44.424,44.1448,44.3136,44.7677,44.049
148,44.3761,44.1448,44.3136,44.7677,44.049
149,44.3761,44.1448,44.3136,44.7677,44.049
150,44.3761,44.1448,44.3136,44.7198,44.049
151,44.3761,44.1448,44.3136,44.7198,44.049
152,44.3761,44.1448,44.2657,44.7198,44.049
153,44.3761,44.1448,44.2657,44.7198,44.049
154,44.3761,44.1448,44.2657,44.7198,44.049
155,44.3282,44.1448,44.2657,44.7198,44.049
156,44.3282,44.1448,44.2177,44.6719,44.0011
157,44.3282,44.1448,44.2177,44.6719,44.0011
158,44.3282,44.0969,44.1698,44.6719,44.0011
159,44.2802,44.0969,44.1698,44.624,43.9532
160,44.2802,44.0969,44.1698,44.624,43.9532
161,44.2802,44.0969,44.1698,44.624,43.9052
162,44.2323,44.0969,44.1698,44.624,43.9052
163,44.2323,44.049,44.1219,44.624,43.9052
164,44.2323,44.049,44.1219,44.5761,43.9052
165,44.2323,44.049,44.1219,44.5761,43.9052
166,44.2323,44.049,44.1219,44.5761,43.8573
167,44.1844,44.049,44.1219,44.5761,43.8573
168,44.1844,44.049,44.1219,44.5761,43.8573
169,44.1844,44.049,44.074,44.5761,43.8573
170,44.1844,44.0011,44.074,44.5761,43.8573
171,44.1844,44.0011,44.074,44.5282,43.8573
172,44.1844,44.0011,44.074,44.5282,43.8573
173,44.1844,44.0011,44.0261,44.5282,43.8573
174,44.1844,44.0011,44.0261,44.5282,43.8573
175,44.1844,44.0011,44.0261,44.5282,43.8573
176,44.1844,44.0011,43.9177,44.4802,43.8573
177,44.1844,44.0011,43.9177,44.4802,43.8573
178,44.1844,44.0011,43.8698,44.4802,43.8094
179,44.1844,44.0011,43.8698,44.4802,43.8094
180,44.1844,44.0011,43.8698,44.4802,43.8094
181,44.1844,44.0011,43.8698,44.4323,43.8094
182,44.1844,44.0011,43.8219,44.4323,43.8094
183,44.1844,44.0011,43.8219,44.3844,43.7615
184,44.1844,44.0011,43.8219,44.3844,43.7615
185,44.1844,44.0011,43.8219,44.3844,43.7136
186,44.1844,44.0011,43.8219,44.3844,43.7136
187,44.1844,44.0011,43.8219,44.3844,43.7136
188,44.1365,44.0011,43.8219,44.3365,43.7136
189,44.1365,44.0011,43.774,44.3365,43.7136
190,44.1365,43.9532,43.774,44.3365,43.6657
191,44.1365,43.9532,43.774,44.3365,43.6657
192,44.1365,43.9532,43.774,44.3365,43.6657
193,43.9802,43.9532,43.774,44.3365,43.6657
194,43.9802,43.9532,43.6657,44.3365,43.6657
195,43.9802,43.9532,43.6657,44.3365,43.6657
196,43.9802,43.9532,43.6177,44.3365,43.6657
197,43.9052,43.9532,43.6177,44.3365,43.6657
198,43.9052,43.9532,43.6177,44.2282,43.6177
199,43.9052,43.9532,43.5698,44.0407,43.6177
200,43.9052,43.9532,43.5698,44.0407,43.6177
201,43.9052,43.9052,43.5698,43.9323,43.6177
202,43.9052,43.9052,43.5698,43.8844,43.6177
203,43.9052,43.9052,43.5219,43.8844,43.6177
204,43.8573,43.8573,43.5219,43.8844,43.6177
205,43.8573,43.8573,43.5219,43.8844,43.6177
