run,k_shortages,timing_band,first_start_day,shortage_types,passive_tardiness,model1_tardiness,model2_tardiness,passive_makespan,model1_makespan,model2_makespan
1,1,early,19.3,A,4.8,0,0,118.416,117.456,117.456
2,1,early,5.6,C,3,0.742,0.742,117.956,117.456,117.456
3,1,early,24.8,C,3.4,0.742,0.742,118.136,117.456,117.456
4,1,early,4.4,B,2.82,0,0,117.926,117.456,117.456
5,1,early,4.4,B,2.7,0,0,117.906,117.456,117.456
6,1,early,19.3,A,7.05,0,0,118.866,117.456,117.456
7,1,early,19.3,A,6.45,0,0,118.746,117.456,117.456
8,1,early,19.3,A,2.15,0,0,117.886,117.456,117.456
9,1,early,41.5,B,4,0,0,118.456,117.456,117.456
10,1,early,17.4,C,4.92,1.113,1.113,118.276,117.456,117.456
11,1,early,38.5,A,2.08,0,0,117.976,117.456,117.456
12,1,early,19.3,A,4.6,0,0,118.376,117.456,117.456
13,1,early,19.3,A,6.35,0,0,118.726,117.456,117.456
14,1,early,22.3,B,7.6,0,0,118.976,117.456,117.456
15,1,early,22.3,B,5.4,0,0,118.536,117.456,117.456
16,1,early,41.5,B,3.24,0,0,118.266,117.456,117.456
17,1,early,24.8,C,8.85,1.854,1.854,119.226,117.456,117.456
18,1,early,4.4,B,7.14,0,0,118.646,117.456,117.456
19,1,early,26.7,C,5.25,1.113,1.113,118.506,117.456,117.456
20,1,early,19.3,A,2.7,0,0,117.996,117.456,117.456
21,1,early,22.3,B,2.95,0,0,118.046,117.456,117.456
22,1,early,19.3,A,12.45,0,0,119.946,117.456,117.456
23,1,early,5.6,C,7.74,1.483,1.483,118.746,117.456,117.456
24,1,early,41.5,B,3.48,0,0,118.326,117.456,117.456
25,1,early,22.3,B,6.5,0,0,118.756,117.456,117.456
26,1,early,19.3,A,11.9,0,0,119.836,117.456,117.456
27,1,early,15.4,C,2.76,0.742,0.46,117.916,117.456,117.212
28,1,early,22.3,B,7.2,0,0,118.896,117.456,117.456
29,1,early,41.5,B,3.12,0,0,118.236,117.456,117.456
30,1,early,13.4,C,5.28,1.113,1.113,118.336,117.456,117.456
31,1,early,41.5,B,2.44,0,0,118.066,117.456,117.456
32,1,early,19.3,A,3.4,0,0,118.136,117.456,117.456
33,1,early,9.5,C,4.38,0.742,0.742,118.186,117.456,117.456
34,1,early,22.3,B,2.45,0,0,117.946,117.456,117.456
35,1,early,15.4,C,4.62,1.113,0.77,118.226,117.456,117.205
36,1,early,22.3,B,10.15,0,0,119.486,117.456,117.456
37,1,early,22.3,B,13.45,0,0,120.146,117.456,117.456
38,1,early,22.3,B,12.3,0,0,119.916,117.456,117.456
39,1,early,19.3,A,2.9,0,0,118.036,117.456,117.456
40,1,early,20.4,A,5.6,0,0,118.576,117.456,117.456
41,1,early,22.3,B,3.9,0,0,118.236,117.456,117.456
42,1,early,5.6,C,5.52,1.113,1.113,118.376,117.456,117.456
43,1,early,19.3,A,7.7,0,0,118.996,117.456,117.456
44,1,early,17.4,C,8.76,1.483,1.483,118.916,117.456,117.456
45,1,early,23.5,B,10.85,0,0,119.626,117.456,117.456
46,1,early,24.8,C,9.1,1.854,1.854,119.276,117.456,117.456
47,1,early,22.3,B,4.8,0,0,118.416,117.456,117.456
48,1,early,22.3,B,2.3,0,0,117.916,117.456,117.456
49,1,early,19.3,A,5.2,0,0,118.496,117.456,117.456
50,1,early,5.6,C,2.64,0.742,0.44,117.896,117.456,117.246
51,1,early,1.3,A,7.32,0,0,118.676,117.456,117.456
52,1,early,28.7,C,1.9,0.742,0.38,117.836,117.456,117.186
53,1,early,26.7,C,4.65,1.113,1.113,118.386,117.456,117.456
54,1,early,22.3,B,6.75,0,0,118.806,117.456,117.456
55,1,early,19.3,A,9.9,0,0,119.436,117.456,117.456
56,1,early,41.5,B,4.44,0,0,118.566,117.456,117.456
57,1,early,19.3,A,2.6,0,0,117.976,117.456,117.456
58,1,early,22.3,B,5.55,0,0,118.566,117.456,117.456
59,1,early,24.8,C,1.9,0.742,0.38,117.836,117.456,117.186
60,1,early,28.7,C,4.55,1.113,1.113,118.366,117.456,117.456
61,1,early,21.2,A,8.55,0,0,119.166,117.456,117.456
62,1,early,11.5,C,12.18,2.225,2.225,119.486,117.456,117.456
63,1,early,22.3,B,5.9,0,0,118.636,117.456,117.456
64,1,early,41.5,B,7,0,0,119.206,117.456,117.456
65,1,early,17.4,C,5.1,1.113,1.113,118.306,117.456,117.456
66,1,early,19.3,A,9.25,0,0,119.306,117.456,117.456
67,1,early,24.8,C,9.2,1.854,1.854,119.296,117.456,117.456
68,1,middle,36.5,C,5.9,1.483,1.18,118.636,117.456,117.245
69,1,middle,76.9,A,4.2,0,0,119.556,117.456,117.456
70,1,middle,38.5,A,3.08,0,0,118.226,117.456,117.456
71,1,middle,82.3,C,2.12,1.113,1.06,118.516,117.456,117.441
72,1,middle,38.5,A,4.16,0,0,118.496,117.456,117.456
73,1,middle,69,C,4.05,1.483,1.35,118.806,117.456,117.415
74,1,middle,60.7,B,3.18,0,0,118.516,117.456,117.456
75,1,middle,79.8,B,2.32,0,0,118.616,117.456,117.456
76,1,middle,45.9,C,8.32,2.225,2.225,119.536,117.456,117.456
77,1,middle,99,B,2.27,0,0,119.726,117.456,117.456
78,1,middle,96.1,A,1.95,0,0,119.406,117.456,117.456
79,1,middle,39.3,A,3.84,0,0,118.416,117.456,117.456
80,1,middle,49.9,C,2.88,0.742,0.742,118.176,117.456,117.456
81,1,middle,36.5,C,4.05,1.113,0.81,118.266,117.456,117.191
82,1,middle,38.5,A,9.44,0,0,119.816,117.456,117.456
83,1,middle,79.8,B,1.14,0,0,118.026,117.456,117.456
84,1,middle,99,B,0.68,0,0,118.136,117.456,117.456
85,1,middle,99,B,2.11,0,0,119.566,117.456,117.456
86,1,middle,44,C,7.72,2.225,1.93,119.386,117.456,117.253
87,1,middle,41.5,B,11.2,0,0,120.256,117.456,117.456
88,1,middle,60.7,B,1.95,0,0,118.106,117.456,117.456
89,1,middle,49.9,C,3.64,1.113,1.113,118.366,117.456,117.456
90,1,middle,60.7,B,3.12,0,0,118.496,117.456,117.456
91,1,middle,41.5,B,4.72,0,0,118.636,117.456,117.456
92,1,middle,57.7,A,1.59,0,0,117.986,117.456,117.456
93,1,middle,96.1,A,2.56,0,0,120.016,117.456,117.456
94,1,middle,41.5,B,3.04,0,0,118.216,117.456,117.456
95,1,middle,96.1,A,0.76,0,0,118.216,117.456,117.456
96,1,middle,41.5,B,7.92,0,0,119.436,117.456,117.456
97,1,middle,79.8,B,1.96,0,0,118.436,117.456,117.456
98,1,middle,63.2,C,3.84,1.483,1.28,118.736,117.456,117.345
99,1,middle,76.9,A,1.54,0,0,118.226,117.456,117.456
100,1,middle,78.4,A,2.02,0,0,118.466,117.456,117.456
101,1,middle,38.5,A,5.64,0,0,118.866,117.456,117.456
102,1,middle,78.4,A,2.72,0,0,118.816,117.456,117.456
103,1,middle,60.7,B,6.09,0,0,119.486,117.456,117.456
104,1,middle,60.7,B,8.4,0,0,120.256,117.456,117.456
105,1,middle,60.7,B,4.17,0,0,118.846,117.456,117.456
106,1,middle,34.6,C,3.55,0.742,0.742,118.166,117.456,117.456
107,1,middle,38.5,A,3,0,0,118.206,117.456,117.456
108,1,middle,42.7,B,5.6,0,0,118.856,117.456,117.456
109,1,middle,76.9,A,1.58,0,0,118.246,117.456,117.456
110,1,middle,76.9,A,1.52,0,0,118.216,117.456,117.456
111,1,middle,79.8,B,0.82,0,0,117.866,117.456,117.456
112,1,middle,32.6,C,0,1.483,0,117.456,117.456,117.456
113,1,middle,42.7,B,2.88,0,0,118.176,117.456,117.456
114,1,middle,63.2,C,5.64,2.225,1.88,119.336,117.456,117.203
115,1,middle,60.7,B,3.69,0,0,118.686,117.456,117.456
116,1,middle,84.3,C,1.64,1.113,0.82,118.276,117.456,117.255
117,1,middle,57.7,A,2.61,0,0,118.326,117.456,117.456
118,1,middle,82.3,C,3.26,1.854,1.63,119.086,117.456,117.27
119,1,middle,41.5,B,10.6,0,0,120.106,117.456,117.456
120,1,middle,96.1,A,0.47,0,0,117.926,117.456,117.456
121,1,middle,79.8,B,2.04,0,0,118.476,117.456,117.456
122,1,middle,34.6,C,9.8,2.225,2.225,119.416,117.456,117.456
123,1,middle,84.3,C,5.1,2.596,2.55,120.006,117.456,117.448
124,1,middle,67.1,C,2.4,1.113,0.8,118.256,117.456,117.181
125,1,middle,58.4,A,2.28,0,0,118.216,117.456,117.456
126,1,middle,41.5,B,9.96,0,0,119.946,117.456,117.456
127,1,middle,90.2,C,1.68,1.113,0.84,118.296,117.456,117.221
128,1,middle,41.5,B,2.72,0,0,118.136,117.456,117.456
129,1,middle,42.7,B,3.76,0,0,118.396,117.456,117.456
130,1,middle,63.2,C,4.38,1.483,1.483,118.916,117.456,117.456
131,1,middle,57.7,A,1.5,0,0,117.956,117.456,117.456
132,1,middle,79.5,A,1.94,0,0,118.426,117.456,117.456
133,1,middle,38.5,A,3.24,0,0,118.266,117.456,117.456
134,1,middle,76.9,A,2.62,0,0,118.766,117.456,117.456
135,1,late,99,B,0.3,0,0,117.756,117.456,117.456
136,1,late,113.3,C,1.47,1.47,1.47,118.926,118.926,118.926
137,1,late,94.1,C,2.2,1.113,1.1,118.556,117.456,117.44
138,1,late,113.3,C,0.71,0.71,0.71,118.166,118.166,118.166
139,1,late,111.3,C,1.66,1.66,1.66,119.116,119.116,119.116
140,1,late,116.4,C,0,0,0,117.456,117.456,117.456
141,1,late,94.1,C,1.58,1.113,0.79,118.246,117.456,117.225
142,1,late,94.1,C,2.86,1.483,1.43,118.886,117.456,117.359
143,1,late,96.1,A,0.86,0,0,118.316,117.456,117.456
144,1,late,109.4,C,1.39,1.39,1.39,118.846,118.846,118.846
145,1,late,99,B,0.45,0,0,117.906,117.456,117.456
146,1,late,101.5,C,0.51,0.51,0.51,117.966,117.966,117.966
147,1,late,99,B,0.79,0,0,118.246,117.456,117.456
148,1,late,105.5,C,1.08,1.08,1.08,118.536,118.536,118.536
149,1,late,111.3,C,0.82,0.82,0.82,118.276,118.276,118.276
150,1,late,99,B,0.36,0,0,117.816,117.456,117.456
151,1,late,103.5,C,2.8,2.8,2.8,120.256,120.256,120.256
152,1,late,101.5,C,0.48,0.48,0.48,117.936,117.936,117.936
153,1,late,94.1,C,2.38,1.483,1.19,118.646,117.456,117.2
154,1,late,115.8,C,0,0,0,117.456,117.456,117.456
155,1,late,96.1,A,0.79,0,0,118.246,117.456,117.456
156,1,late,99,B,0.64,0,0,118.096,117.456,117.456
157,1,late,96.1,A,1.92,0,0,119.376,117.456,117.456
158,1,late,115.2,C,0,0,0,117.456,117.456,117.456
159,1,late,111.3,C,0.37,0.37,0.37,117.826,117.826,117.826
160,1,late,107.4,C,2,2,2,119.456,119.456,119.456
161,1,late,103.5,C,2.24,2.24,2.24,119.696,119.696,119.696
162,1,late,101.5,C,1.55,1.55,1.55,119.006,119.006,119.006
163,1,late,113.3,C,1.35,1.35,1.35,118.806,118.806,118.806
164,1,late,101.5,C,0.53,0.53,0.53,117.986,117.986,117.986
165,1,late,99,B,0.81,0,0,118.266,117.456,117.456
166,1,late,103.5,C,0.95,0.95,0.95,118.406,118.406,118.406
167,1,late,96.1,A,0.81,0,0,118.266,117.456,117.456
168,1,late,96.1,A,0.59,0,0,118.046,117.456,117.456
169,1,late,113.3,C,1.23,1.23,1.23,118.686,118.686,118.686
170,1,late,101.5,C,0.59,0.59,0.59,118.046,118.046,118.046
171,1,late,96.1,A,1.31,0,0,118.766,117.456,117.456
172,1,late,105.5,C,0.43,0.43,0.43,117.886,117.886,117.886
173,1,late,99,B,0.87,0,0,118.326,117.456,117.456
174,1,late,115,C,0,0,0,117.456,117.456,117.456
175,1,late,103.5,C,0.35,0.35,0.35,117.806,117.806,117.806
176,1,late,100.3,B,2.24,0,0,119.696,117.456,117.456
177,1,late,111.3,C,0.9,0.9,0.9,118.356,118.356,118.356
178,1,late,105.5,C,0.68,0.68,0.68,118.136,118.136,118.136
179,1,late,109.4,C,1.4,1.4,1.4,118.856,118.856,118.856
180,1,late,111.3,C,0.52,0.52,0.52,117.976,117.976,117.976
181,1,late,101.5,C,2.84,2.84,2.84,120.296,120.296,120.296
182,1,late,94.1,C,3.38,1.854,1.69,119.146,117.456,117.248
183,1,late,101.5,C,0.71,0.71,0.71,118.166,118.166,118.166
184,1,late,99,B,1.36,0,0,118.816,117.456,117.456
185,1,late,113.3,C,1.79,1.79,1.79,119.246,119.246,119.246
186,1,late,111.3,C,0.8,0.8,0.8,118.256,118.256,118.256
187,1,late,92.1,C,1.46,0.742,0.73,118.186,117.456,117.322
188,1,late,103.5,C,0.59,0.59,0.59,118.046,118.046,118.046
189,1,late,113.3,C,1.67,1.67,1.67,119.126,119.126,119.126
190,1,late,109.4,C,2.08,2.08,2.08,119.536,119.536,119.536
191,1,late,101.5,C,1.05,1.05,1.05,118.506,118.506,118.506
192,1,late,113.3,C,1.59,1.59,1.59,119.046,119.046,119.046
193,1,late,101.5,C,2.8,2.8,2.8,120.256,120.256,120.256
194,1,late,99,B,1.48,0,0,118.936,117.456,117.456
195,1,late,96.1,A,1.32,0,0,118.776,117.456,117.456
196,1,late,111.3,C,0.75,0.75,0.75,118.206,118.206,118.206
197,1,late,105.5,C,2.08,2.08,2.08,119.536,119.536,119.536
198,1,late,109.4,C,1.45,1.45,1.45,118.906,118.906,118.906
199,1,late,115.2,C,0,0,0,117.456,117.456,117.456
200,1,late,99,B,1.96,0,0,119.416,117.456,117.456
201,2,early,19.3,A|A,7.85,0,0,119.026,117.456,117.456
202,2,early,38.5,A|B,3.64,0,0,118.976,117.456,117.456
203,2,early,22.3,B|B,4.4,0,0,118.336,117.456,117.456
204,2,early,22.3,B|A,10.98,0,0,119.816,117.456,117.456
205,2,early,7.6,C|B,4.74,1.113,0.79,118.246,117.456,117.225
206,2,early,19.3,A|C,5.3,1.7,1.7,119.156,119.156,119.156
207,2,early,38.5,A|B,7.72,0,0,119.386,117.456,117.456
208,2,early,22.3,B|C,6.938,0,0,119.715,117.456,117.456
209,2,early,38.5,A|C,7.44,0,0,119.316,117.456,117.456
210,2,early,38.5,A|A,7.86,0,0,119.776,117.456,117.456
211,2,early,19.3,A|B,7.2,0,0,118.896,117.456,117.456
212,2,early,38.5,A|B,4.4,0,0,118.556,117.456,117.456
213,2,early,9.5,C|C,4.44,1.483,1.452,118.196,117.456,117.254
214,2,early,19.3,A|A,3.05,0,0,118.066,117.456,117.456
215,2,early,17.4,C|B,6.24,0.742,0.742,120.296,117.456,117.456
216,2,early,19.3,A|A,4.2,0,0,118.326,117.456,117.456
217,2,early,4.4,B|A,12.2,0,0,119.576,117.456,117.456
218,2,early,23.5,B|A,8.4,0,0,119.136,117.456,117.456
219,2,early,22.3,B|B,6.45,0,0,118.746,117.456,117.456
220,2,early,19.3,A|A,4.122,0,0,118.767,117.456,117.456
221,2,early,22.3,B|A,9.9,0,0,119.436,117.456,117.456
222,2,early,22.3,B|B,12.65,0,0,119.986,117.456,117.456
223,2,early,13.4,C|C,12.69,2.955,2.955,120.147,118.186,118.186
224,2,early,5.6,C|A,25.535,2.596,2.596,122.051,117.456,117.456
225,2,early,22.3,B|A,2.45,0,0,117.946,117.456,117.456
226,2,early,19.3,A|B,9.3,0,0,119.946,117.456,117.456
