run,k_stoppages,timing_band,first_start_day,passive_tardiness,model1_tardiness,model2_tardiness
1,1,early,10.4,3.48,3.48,0.58
2,1,early,19.9,2.35,2.35,0.0
3,1,early,16.5,5.46,5.46,0.91
4,1,early,2.7,6.96,6.96,0.733
5,1,early,2.1,6.18,6.18,0.224
6,1,early,3.0,3.0,3.0,0.01
7,1,early,13.3,11.46,11.46,5.991
8,1,early,4.6,4.14,4.14,0.69
9,1,early,19.2,14.4,14.4,8.931
10,1,early,17.7,5.76,5.76,0.96
11,1,early,29.3,2.15,2.15,0.43
12,1,early,25.9,3.95,3.95,0.79
13,1,early,5.2,3.24,3.24,0.54
14,1,early,9.9,11.28,11.28,5.811
15,1,early,6.2,7.8,7.8,2.331
16,1,early,19.5,4.6,4.6,0.0
17,1,early,16.9,2.76,2.76,0.46
18,1,early,2.7,3.96,3.96,0.0
19,1,early,20.7,5.1,5.1,0.118
20,1,early,10.1,7.86,7.86,2.439
21,1,early,14.1,4.86,4.86,0.81
22,1,early,24.0,7.8,7.8,3.425
23,1,early,8.1,7.74,7.74,2.271
24,1,early,16.2,12.42,12.42,6.951
25,1,early,22.2,3.95,3.95,0.3
26,1,early,29.4,2.7,2.7,0.54
27,1,early,13.1,10.26,10.26,4.791
28,1,early,5.4,6.78,6.78,1.311
29,1,early,2.1,8.94,8.94,2.665
30,1,early,23.2,6.45,6.45,1.742
31,1,early,26.4,4.15,4.15,0.83
32,1,early,21.2,6.65,6.65,1.469
33,1,early,17.8,6.42,6.42,1.07
34,1,early,25.4,11.9,11.9,7.525
35,1,early,14.7,8.88,8.88,3.411
36,1,early,2.8,9.42,9.42,3.51
37,1,early,19.8,13.9,13.9,8.527
38,1,early,24.8,3.9,3.9,0.78
39,1,early,12.2,8.94,8.94,3.519
40,1,early,1.7,6.48,6.48,0.226
41,1,early,5.9,3.24,3.24,0.54
42,1,early,2.7,10.44,10.44,4.434
43,1,early,4.8,4.38,4.38,0.73
44,1,early,12.3,12.36,12.36,6.891
45,1,early,3.3,6.3,6.3,0.717
46,1,early,16.9,12.6,12.6,7.131
47,1,early,24.8,10.15,10.15,5.775
48,1,early,9.1,6.0,6.0,1.0
49,1,early,11.4,12.66,12.66,7.239
50,1,early,28.8,2.9,2.9,0.58
51,1,early,6.1,4.2,4.2,0.7
52,1,early,7.8,6.72,6.72,1.251
53,1,early,18.1,4.5,4.5,0.75
54,1,early,1.1,6.0,6.0,0.05
55,1,early,11.7,7.62,7.62,2.151
56,1,early,28.6,7.7,7.7,3.325
57,1,early,15.9,8.28,8.28,2.811
58,1,early,20.6,2.2,2.2,0.0
59,1,early,27.1,8.85,8.85,4.475
60,1,early,26.4,9.1,9.1,4.725
61,1,early,12.4,5.82,5.82,0.97
62,1,early,4.0,8.46,8.46,2.658
63,1,early,2.8,2.82,2.82,0.0
64,1,early,7.1,3.6,3.6,0.6
65,1,early,10.9,2.64,2.64,0.44
66,1,early,1.0,3.48,3.48,0.0
67,1,early,3.9,5.46,5.46,0.577
68,1,middle,36.0,7.35,7.35,2.975
69,1,middle,84.7,3.56,3.56,2.466
70,1,middle,75.3,3.33,3.33,1.142
71,1,middle,41.5,7.2,7.2,3.585
72,1,middle,50.6,7.32,7.32,4.039
73,1,middle,88.3,1.92,1.92,0.96
74,1,middle,54.7,9.6,9.6,6.319
75,1,middle,73.8,1.83,1.83,0.61
76,1,middle,38.5,2.9,2.9,0.58
77,1,middle,84.4,3.7,3.7,2.606
78,1,middle,39.6,7.64,7.64,3.409
79,1,middle,88.8,2.92,2.92,1.826
80,1,middle,51.7,4.96,4.96,1.679
81,1,middle,38.7,1.4,1.4,0.0
82,1,middle,88.3,2.9,2.9,1.806
83,1,middle,62.1,6.96,6.96,4.773
