run,severity_level,disruptions_each_type,timing_band,n_stoppages,n_shortages,n_reworks,realised_failures,passive_tardiness,model1_tardiness,model2_tardiness,passive_makespan,model1_makespan,model2_makespan
1,mild,1,early,1,1,1,1,29.413,29.413,27.225,123.611,123.611,122.517
2,mild,1,early,1,1,1,1,10.088,4.033,1.55,120.302,118.377,117.427
3,mild,1,early,1,1,1,1,7.172,3.043,1.72,120.182,118.257,117.451
4,mild,1,early,1,1,1,1,17.979,17.979,13.604,121.052,121.052,119.958
5,mild,1,early,1,1,1,1,14.915,12.492,12.159,122.732,120.309,119.975
6,mild,1,early,1,1,1,1,18.797,18.797,18.797,122.812,122.812,122.812
7,mild,1,early,1,1,1,1,14.024,14.024,14.024,121.127,121.127,121.127
8,mild,1,early,1,1,1,1,28.366,22.968,16.425,123.552,122.064,119.723
9,mild,1,early,1,1,1,1,20.999,20.999,18.812,122.132,122.132,121.038
10,mild,1,early,1,1,1,1,12.775,10.353,10.019,122.312,119.889,119.555
11,mild,1,early,1,1,1,1,15.394,15.394,12.112,120.488,120.488,119.394
12,mild,1,early,1,1,1,1,15.156,15.156,14.823,123.262,123.262,122.928
13,mild,1,early,1,1,1,1,16.052,16.052,16.052,121.957,121.957,121.957
14,mild,1,early,1,1,1,1,19.813,19.813,15.438,120.888,120.888,119.795
15,mild,1,early,1,1,1,1,20.325,16.65,16.65,125.561,121.886,121.886
16,mild,1,early,1,1,1,1,13.359,13.359,11.172,120.222,120.222,119.128
17,mild,1,early,1,1,1,1,13.112,8.983,6.751,121.172,119.247,118.153
18,mild,1,early,1,1,1,1,23.69,17.635,13.198,122.623,120.698,119.233
19,mild,1,early,1,1,1,1,11.808,11.808,11.808,120.572,120.572,120.572
20,mild,1,early,1,1,1,1,15.576,13.372,11.863,123.372,121.168,119.66
21,mild,1,early,1,1,1,1,29.17,29.17,29.17,125.547,125.547,125.547
22,mild,1,early,1,1,1,1,15.312,11.183,8.951,121.612,119.687,118.593
23,mild,1,early,1,1,1,1,14.759,14.759,13.665,123.141,123.141,122.047
24,mild,1,early,1,1,1,1,25.542,18.656,15.042,122.902,121.414,120.32
25,mild,1,early,1,1,1,1,24.253,24.253,21.415,121.498,121.498,120.405
26,mild,1,early,1,1,1,1,13.416,11.212,9.703,122.642,120.438,118.93
