run,k_reworks,realised_failures,timing_band,first_start_day,rework_types,passive_tardiness,model1_tardiness,model2_tardiness,passive_makespan,model1_makespan,model2_makespan
1,1,1,early,10.4,A,11.479,1.575,0.0,119.752,117.827,117.446
2,1,1,early,12.4,A,11.479,1.575,0.0,119.752,117.827,117.446
3,1,1,early,3.1,C,24.988,10.292,4.848,121.621,119.417,118.348
4,1,1,early,3.7,C,24.988,10.292,4.848,121.621,119.417,118.348
5,1,1,early,2.7,C,24.988,10.292,4.848,121.621,119.417,118.348
6,1,1,early,7.2,A,11.479,1.575,0.0,119.752,117.827,117.446
7,1,1,early,13.6,A,11.479,1.575,0.0,119.752,117.827,117.446
8,1,1,early,8.0,C,24.988,10.292,4.848,121.621,119.417,118.348
9,1,1,early,13.3,C,24.988,10.292,4.823,121.621,119.417,118.323
10,1,1,early,4.6,A,11.479,1.575,0.0,119.752,117.827,117.446
11,1,1,early,19.3,C,24.988,10.419,4.998,121.621,119.417,118.323
12,1,1,early,28.5,C,20.823,8.331,3.956,121.621,119.417,118.323
13,1,1,early,18.0,A,11.479,1.575,0.0,119.752,117.827,117.446
14,1,1,early,29.3,A,9.183,1.204,0.0,119.752,117.827,117.446
15,1,1,early,17.1,A,11.479,1.575,0.0,119.752,117.827,117.446
16,1,1,early,9.4,A,11.479,1.575,0.0,119.752,117.827,117.446
17,1,1,early,16.7,C,24.988,10.292,4.823,121.621,119.417,118.323
18,1,1,early,9.9,C,24.988,10.292,4.823,121.621,119.417,118.323
19,1,1,early,6.2,C,24.988,10.292,4.848,121.621,119.417,118.348
20,1,1,early,17.6,A,11.479,1.575,0.0,119.752,117.827,117.446
21,1,1,early,11.8,C,24.988,10.292,4.823,121.621,119.417,118.323
22,1,1,early,21.7,C,20.823,8.331,3.956,121.621,119.417,118.323
23,1,1,early,2.7,A,4.713,1.946,0.0,118.242,117.827,117.333
24,1,1,early,15.4,C,24.988,10.292,4.871,121.621,119.417,118.371
25,1,1,early,13.4,B,13.677,5.304,0.929,120.192,118.704,117.61
26,1,1,early,14.5,B,13.677,5.304,0.929,120.192,118.704,117.61
27,1,1,early,11.5,A,11.479,1.575,0.0,119.752,117.827,117.446
28,1,1,early,24.0,C,20.823,8.331,3.956,121.621,119.417,118.323
29,1,1,early,23.6,A,8.969,1.575,0.092,119.25,117.827,117.333
30,1,1,early,17.7,C,24.988,10.419,4.998,121.621,119.417,118.323
31,1,1,early,15.4,B,13.677,5.304,0.929,120.192,118.704,117.61
32,1,1,early,22.2,B,13.677,5.304,0.929,120.192,118.704,117.61
33,1,1,early,18.7,A,11.479,1.575,0.0,119.752,117.827,117.446
34,1,1,early,4.4,B,15.913,6.552,1.083,120.108,118.704,117.61
