run,run_tardiness_Z,cumulative_mean_Z
1,17.128,17.128
2,17.403,17.2655
3,24.758,19.763
4,36.445,23.9335
5,24.461,24.039
6,15.619,22.6357
7,22.362,22.5966
8,28.899,23.3844
9,12.335,22.1567
10,25.328,22.4738
11,31.434,23.2884
12,20.252,23.0353
13,24.326,23.1346
14,17.225,22.7125
15,25.129,22.8736
16,16.658,22.4851
17,28.133,22.8174
18,23.88,22.8764
19,30.483,23.2767
20,9.586,22.5922
21,19.551,22.4474
22,26.207,22.6183
23,31.788,23.017
24,20.022,22.8922
25,16.479,22.6356
26,31.565,22.9791
27,18.775,22.8234
28,27.572,22.993
29,16.421,22.7663
30,33.547,23.1257
31,22.318,23.0996
32,18.627,22.9599
33,17.352,22.7899
34,14.146,22.5357
35,18.721,22.4267
36,16.252,22.2552
37,33.642,22.5629
38,17.303,22.4245
39,23.159,22.4434
40,30.27,22.639
41,45.96,23.2078
42,31.832,23.4132
43,27.985,23.5195
44,22.146,23.4883
45,23.611,23.491
46,36.726,23.7787
47,29.1,23.8919
48,15.956,23.7266
49,40.51,24.0691
50,28.616,24.1601
51,18.42,24.0475
52,14.678,23.8673
53,9.83,23.6025
54,32.929,23.7752
55,17.457,23.6603
56,21.174,23.6159
57,19.068,23.5361
58,36.465,23.759
59,29.942,23.8638
60,18.46,23.7738
61,33.192,23.9282
62,30.431,24.033
63,32.041,24.1602
64,14.924,24.0158
65,29.495,24.1001
66,9.978,23.8862
67,20.075,23.8293
68,29.262,23.9092
69,17.202,23.812
70,16.303,23.7047
71,16.784,23.6072
72,31.625,23.7186
73,17.494,23.6333
74,27.744,23.6889
75,30.732,23.7828
76,13.684,23.6499
77,9.979,23.4724
78,17.794,23.3996
79,23.641,23.4026
80,13.901,23.2838
81,33.668,23.412
82,16.994,23.3338
83,54.726,23.712
84,25.37,23.7317
85,27.039,23.7706
86,15.515,23.6746
87,26.579,23.708
88,14.978,23.6088
89,17.313,23.5381
90,7.637,23.3614
91,12.475,23.2418
92,21.292,23.2206
93,23.422,23.2227
94,19.174,23.1797
95,28.164,23.2321
96,12.557,23.1209
97,39.334,23.2881
98,7.435,23.1263
99,20.15,23.0963
100,22.287,23.0882
101,29.802,23.1546
102,18.285,23.1069
103,29.025,23.1643
104,29.623,23.2265
105,16.502,23.1624
106,17.723,23.1111
107,15.532,23.0403
108,24.133,23.0504
109,16.498,22.9903
110,25.431,23.0125
111,25.537,23.0352
112,24.632,23.0495
113,27.302,23.0871
114,18.8,23.0495
115,22.687,23.0463
116,14.431,22.9721
117,31.631,23.0461
118,14.27,22.9717
119,15.327,22.9075
120,14.973,22.8413
121,23.391,22.8459
122,36.288,22.9561
123,22.516,22.9525
124,9.03,22.8402
125,22.975,22.8413
126,11.753,22.7533
127,10.904,22.66
128,26.443,22.6895
129,24.79,22.7058
130,13.977,22.6387
131,26.955,22.6716
132,16.606,22.6257
133,19.98,22.6058
134,22.455,22.6046
135,22.044,22.6005
136,31.924,22.6691
137,25.249,22.6879
138,18.333,22.6563
139,20.083,22.6378
140,29.274,22.6852
141,19.59,22.6633
142,44.543,22.8173
143,20.914,22.804
144,27.745,22.8383
145,23.705,22.8443
146,12.498,22.7735
147,35.244,22.8583
148,12.054,22.7853
149,31.951,22.8468
150,21.363,22.8369
151,18.942,22.8111
152,21.632,22.8034
153,26.275,22.8261
154,28.97,22.8659
155,26.974,22.8925
156,28.922,22.9311
157,8.119,22.8368
158,19.008,22.8125
159,17.533,22.7793
160,13.381,22.7206
161,20.75,22.7083
162,24.684,22.7205
163,18.178,22.6927
164,11.695,22.6256
165,33.538,22.6917
166,33.723,22.7582
167,21.323,22.7496
168,20.315,22.7351
169,20.317,22.7208
170,26.878,22.7453
171,12.727,22.6867
172,22.976,22.6884
173,17.548,22.6586
174,21.28,22.6507
